machine,benchmark,code,backend,gflops,compile_time
spr,getd,einsum_ir,tpp,3677,0.014403986
spr,getd,opt_einsum,torch,930,0.0001549506187438
spr,mera,at::einsum,eigen,452,0.0
spr,mera,einsum_ir,blas,1826,0.016958625
spr,mera,einsum_ir,tblis,2052,0.0146993009999999
spr,mera,einsum_ir,tpp,3238,0.021452227
spr,mera,opt_einsum,torch,594,0.0005992102622985
spr,syn,at::einsum,eigen,814,0.0
spr,syn,einsum_ir,blas,2863,0.013596594
spr,syn,einsum_ir,tblis,2189,0.013222301
spr,syn,einsum_ir,tpp,4790,0.014007028
spr,syn,opt_einsum,torch,1152,0.0001629066467284
spr,syn,tvm,ansor,3151,2963.728227853775
spr,tnlm,einsum_ir,blas,1349,0.0185809759999999
spr,tnlm,einsum_ir,tblis,3608,0.014416387
spr,tnlm,einsum_ir,tpp,3095,0.027418221
spr,tnlm,opt_einsum,torch,3532,0.0020527172088622
spr,trn,at::einsum,eigen,227,0.0
spr,trn,einsum_ir,blas,701,0.0135701019999999
spr,trn,einsum_ir,tblis,810,0.013047739
spr,trn,einsum_ir,tpp,1057,0.0148047229999999
spr,trn,opt_einsum,torch,361,0.0002385067939757
spr,tt,at::einsum,eigen,262,0.0
spr,tt,einsum_ir,blas,1972,0.018151536
spr,tt,einsum_ir,tblis,1634,0.013189414
spr,tt,einsum_ir,tpp,2591,0.018506002
spr,tt,opt_einsum,torch,249,0.0001538825035094
spr,tt,tvm,ansor,1291,5558.039469957352
spr,tw,at::einsum,eigen,43,0.0
spr,tw,einsum_ir,blas,731,0.0137476159999999
spr,tw,einsum_ir,tblis,524,0.013058653
spr,tw,einsum_ir,tpp,746,0.0139922602999999
spr,tw,opt_einsum,torch,130,0.0001519370079039
spr,tw,tvm,ansor,1035,3186.3120532035828
